0,0.81081
3,0.04846
6,0.03143
9,0.02651
12,0.02401
15,0.01939
18,0.01698
21,0.01694
24,0.01646
27,0.01616
30,0.01571
33,0.01521
36,0.01333
39,0.01394
42,0.01406
45,0.01347
48,0.01302
51,0.01409
54,0.01182
57,0.01337
60,0.01278
63,0.01233
66,0.01536
69,0.01004
72,0.01149
75,0.01265
78,0.01114
81,0.00962
84,0.01100
87,0.01032
90,0.01083
93,0.01091
96,0.00956
99,0.01053
102,0.00977
105,0.01014
108,0.01137
111,0.00885
--------------------------------
0,0.81212
10,0.09622
20,0.06535
30,0.04794
40,0.04281
50,0.04186
60,0.03297
70,0.03240
80,0.02704
90,0.02550
100,0.02471
110,0.02463
120,0.02177
130,0.02261
140,0.02227
150,0.01941
160,0.01768
170,0.01993
180,0.01826
190,0.01925
200,0.02026
210,0.01685
220,0.01682
230,0.01553
240,0.01718
250,0.01577
260,0.01589
270,0.01638
280,0.01445
290,0.01580
300,0.01493
310,0.01432
320,0.01326
330,0.01367
340,0.01470
350,0.01389
360,0.01284
370,0.01335
380,0.01391
390,0.01510
400,0.01345
410,0.01367
420,0.01302
430,0.01388
440,0.01572
450,0.01498
460,0.01552
470,0.01216
480,0.01153
490,0.01236
500,0.01279
510,0.01062
520,0.01296
530,0.01293
540,0.01134
550,0.01180
560,0.01331
570,0.01067
580,0.01204
590,0.01173
600,0.01088
610,0.01174
620,0.01076
630,0.01189
640,0.01121
650,0.00990
660,0.01330
670,0.01091
680,0.01071
690,0.01059
700,0.04386
710,0.01018
720,0.01085
730,0.01139
740,0.01151
